computer,3426
on,3270
research,2271
university,1998
science,1964
professor,1176
systems,1085
department,1024
information,977
parallel,941
home,916
<a,856
software,750
-,685
programming,662
engineering,657
j.,656
computing,625
distributed,612
pp.,604
conference,576
international,558
system,542
s.,541
interests,525
program,524
ieee,517
data,508
design,507
proceedings,507
publications,481
acm,471
artificial,468
"systems,",465
r.,450
m.,442
a.,440
cs,439
1996,438
associate,429
fax:,428
journal,422
algorithms,418
ph.d.,414
analysis,399
d.,397
"science,",387
computational,386
phone:,384
current,376
performance,368
recent,356
dr.,353
am,351
using,345
national,343
teaching,341
c.,338
faculty,336
work,333
email:,327
technical,322
operating,321
<img,318
project,315
language,315
g.,315
group,308
(with,305
institute,304
--,299
1995,298
assistant,296
use,295
member,294
vol.,294
symposium,293
about,288
applications,285
theory,284
intelligence,282
college,282
support,280
learning,279
development,275
technology,274
1995,274
papers,273
students,273
sciences,269
database,267
control,266
"university,",264
1996,262
1994,262
center,253
=,253
course,252
people,252
t.,250
processing,248
.,247
laboratory,246
workshop,245
projects,245
p.,244
network,241
fall,241
real-time,240
l.,238
office:,237
k.,237
"ph.d.,",236
machine,236
e.,234
h.,233
",",230
systems.,227
graduate,225
proc.,222
areas,221
&,219
|,217
courses,216
received,216
selected,215
languages,215
1993,214
scientific,212
"engineering,",211
gun,211
architecture,210
w.,209
office,207
multimedia,207
no.,205
"""the",205
interest,202
education,199
logic,198
mathematics,194
networks,193
electrical,191
report,191
methods,189
paper,189
time,188
committee,188
include,187
"computing,",185
knowledge,184
management,183
1992,182
graphics,180
b.,179
memory,177
number,177
web,177
working,175
techniques,175
currently,175
available,174
used,173
general,173
society,172
intelligent,172
eecs,170
advanced,169
transactions,169
problems,168
list,168
digital,167
mathematical,167
neural,167
building,165
"conference,",164
two,163
image,163
area,160
links,159
communication,159
e-mail:,159
professional,158
special,156
modeling,156
introduction,156
contact,156
right,156
association,153
visualization,153
personal,151
interests:,151
annual,150
m.s.,150
model,148
chair,148
"professor,",148
models,147
activities,146
numerical,145
based,145
"algorithms,",143
version,142
1994,142
applied,142
natural,141
study,140
v.,140
complexity,139
including,138
second,138
academic,137
tools,136
address,136
...,135
"intelligence,",134
implementation,133
july,133
october,133
"1995,",133
-->,130
issues,129
award,129
developed,128
problem,127
1991,127
visual,126
"""a",126
"press,",126
computation,125
address:,124
cognitive,124
pages,123
november,123
simulation,123
formal,120
part,120
virtual,120
interested,119
taught,118
text,118
ca,118
government,118
joint,117
"member,",117
prof.,117
f.,116
application,115
"networks,",115
reasoning,114
computers,114
email,114
efficient,113
object-oriented,113
programs,112
vision,112
"california,",112
adaptive,111
"1994,",110
file,109
"design,",109
appear,109
automated,109
:,108
"t.,",108
human,108
structures,107
csci,107
i'm,106
mit,106
police,106
notes,105
"1996,",105
evaluation,105
studies,105
room,105
user,104
linear,104
n.,104
shared,104
director,104
editor,103
mobile,103
science.,103
"processing,",103
approach,101
like,101
search,101
university.,101
degree,101
world,101
lab,100
nsf,99
electronic,99
served,99
page.,98
interface,98
"1993,",98
berkeley,98
1,97
architectures,97
environments,97
developing,97
classes,97
scheduling,97
access,96
dynamic,96
school,96
optimization,95
service,95
algorithm,95
theoretical,95
/,95
lecture,94
"technology,",94
fax,93
investigator,93
pattern,93
crime,93
make,92
"languages,",92
published,92
states,92
internet,92
communications,92
united,92
summary,92
>,91
foundation,91
various,91
interactive,91
"theory,",90
issue,90
related,89
protocols,89
"mathematics,",89
found,89
object,89
get,88
december,88
b.s.,88
solving,87
please,86
undergraduate,85
dept.,85
st.,85
go,85
compiler,84
topics,84
"york,",84
1993,84
find,84
"1,",84
schedule,84
on-line,83
1991,83
three,82
ny,82
phd,82
planning,82
"reps,",82
robotics,81
involved,81
years,81
"committee,",81
postscript,81
complex,81
federal,81
expert,80
principles,80
discrete,80
"3,",80
"award,",80
public,80
environment,79
ibm,79
1990,79
following,79
recognition,79
send,79
local,78
2,78
code,77
server,77
decision,77
"ca,",77
www,77
background,77
cse,77
guns,77
"programming,",76
1992,76
concurrent,76
u.s.,76
student,75
homepage,75
hardware,75
space,75
databases,75
given,75
1990,75
services,75
(fall,74
results,74
networks.,74
"research,",74
editorial,74
y.,73
set,73
foundations,73
resources,73
"2,",73
cpsc,73
arms,73
geometric,72
automatic,72
return,72
updated,72
fellow,72
phone,72
keep,72
called,71
process,71
curriculum,71
1989,71
thesis,71
test,71
modified,71
check,70
conf.,70
ftp,70
e-mail,70
class,69
generation,69
heterogeneous,69
fault-tolerant,69
interaction,69
1,69
o,69
develop,68
1996),68
recently,68
reports,68
year,68
protocol,68
february,68
"architecture,",68
-217,68
firearms,68
video,67
"analysis,",67
problems.,67
"graphics,",67
"washington,",67
questions,67
"1990,",67
interesting,67
representation,67
integrated,67
rights,67
constitution,67
vlsi,66
"1992,",66
volume,66
here.,66
"madison,",65
goal,65
different,65
visiting,65
experimental,65
"learning,",65
cis,65
scalable,65
probabilistic,64
modified:,64
"director,",64
"applications,",64
atm,64
computing.,64
senior,64
avenue,64
href,64
structure,63
algorithms.,63
document,63
library,63
"vision,",63
physics,63
border=0,63
&amp;,63
routing,62
systems:,62
books,62
objects,62
medical,62
"1991,",62
3,62
1988,62
o.,62
hours,61
order,61
"4,",61
invited,61
provide,60
applications.,60
understanding,60
press,60
security,60
(fax),60
1989,60
degrees,60
experience,60
[,60
],60
algebra,59
multiple,59
uc,59
joined,59
-510,59
"m.,",59
times,58
comments,58
testing,58
educational,58
principal,58
division,57
fault,57
family,57
siam,57
level,57
"department,",57
"computation,",57
5,57
projects:,57
manufacturing,57
"s.,",57
wide,56
take,56
graph,56
"databases,",56
"6,",56
physical,56
"amherst,",56
genetic,56
ii,56
integration,56
submitted,56
"berkeley,",55
(the,55
series,55
retrieval,55
individual,55
rate,55
"society,",55
militia,55
-608,55
especially,54
